id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
754112075424018201,Chambre privée dans villa à partager à Pessac,88951310,Candice Et Sa Famille,Pessac,Arago-La Chataigneraie,44.79343334830293,-0.6424732133746147,Private room,30,5,0,,,3,33,0,
754342797779187893,Chambre privée 15m² Villenave d'Ornon,406442919,Julien,Villenave-d'Ornon,Villenave-d'Ornon,44.76388,-0.57121,Private room,,1,14,2023-06-22,0.84,3,0,1,
754419015526958265,"Duplex cosy hyper centre, proche Grand Théâtre",25039202,Jerome,Bordeaux,Centre ville (Bordeaux),44.84160768789889,-0.5726831406354904,Entire home/apt,99,2,13,2023-10-15,0.82,1,359,9,33063008793E1
754678506644225007,Studio confort proche du centre,218765540,Leavetown,Bordeaux,Bordeaux Maritime,44.86584,-0.55005,Entire home/apt,96,4,0,,,16,277,0,Exempt - hotel-type listing
754725981927795693,Bel appartement familial,12264667,Claire,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82323,-0.6147,Entire home/apt,,365,0,,,1,0,0,33063008791D5
754839241586958854,Beautiful house perfect for families & friends,45283118,Victoria,Le Bouscat,Le Bouscat,44.86323244525274,-0.6035307153442449,Entire home/apt,110,3,1,2023-01-02,0.07,1,112,0,
754944155491608444,Chambre privée n°2 dans maison chaleureuse,16721728,Mathieu,Merignac,Capeyron,44.85845,-0.6415,Private room,40,3,32,2023-10-07,1.94,3,80,19,
754984969189028650,"Au coeur de Bordeaux, un cocon sans vis-à-vis",19425059,Alexia,Bordeaux,Bordeaux Sud,44.83448,-0.57162,Entire home/apt,81,3,22,2024-02-26,1.41,1,32,19,330630087181E
755104801159875172,Appartement situé à 2 min de la gare st jean Bcier,389943855,Fodé,Bordeaux,Bordeaux Sud,44.82375,-0.5525,Entire home/apt,51,365,2,2022-11-20,0.12,1,365,0,Exempt - hotel-type listing
755118103596010232,"Bordeaux-Centre,quai des Chartrons ->zone privée !",29949043,Guillaume,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85067601509195,-0.5697642079345644,Private room,60,1,31,2023-08-15,1.90,1,107,22,
755614382680210369,Bordeaux :appartement familial au cœur de la ville,20552586,Nina,Bordeaux,Bordeaux Sud,44.8346270185249,-0.5710798501968384,Entire home/apt,150,1,25,2024-02-25,1.53,1,17,18,330630087202A
755682529594526005,Bordeaux - Bel appartement- Parquets & Cheminées,5266326,Olivier,Bordeaux,Bordeaux Sud,44.83181,-0.57451,Private room,222,2,0,,,1,365,0,
755693753376407679,Appartement Eysines centre,134038087,Lea,Eysines,Eysines,44.88478211678787,-0.6548193421429406,Entire home/apt,71,1,7,2024-03-17,1.15,1,85,7,
755760390814295903,Floirac location appartement 56m2 tout èquipè,74480224,Myriam,Floirac,Floirac,44.834504,-0.5334999,Entire home/apt,52,3,22,2024-02-25,1.51,1,24,18,
756424456886729060,Chapelier YourHostHelper,487028296,Félix,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85117470000001,-0.58163,Entire home/apt,100,2,20,2024-01-07,1.28,1,259,16,3306300872236
756991419793658429,Appartement Bordeaux Chartrons,77531292,Melissa,Bordeaux,Bordeaux Maritime,44.85673890762834,-0.5635659769177437,Entire home/apt,,365,7,2023-10-06,0.43,1,363,2,33063008742AE
757062532101216957,Chambre avec grand lit 2 places,454091476,David,Ambs,Ambs,45.00633,-0.53146,Private room,31,1,6,2024-03-01,0.42,2,365,4,
757124877004268826,Cosy room in a modern house,67234380,Wanlin,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85911,-0.58794,Private room,36,2,24,2024-03-16,1.54,1,305,20,
757765567409269256,Charmant appartement hyper centre.,472663331,Max,Bordeaux,Centre ville (Bordeaux),44.838723,-0.5715844,Entire home/apt,59,1,146,2024-03-18,8.85,2,182,103,33063008309D3
757810034239135580,Joli appartement au coeur de Bordeaux,390200553,Happy Team,Bordeaux,Bordeaux Sud,44.8328,-0.56755,Entire home/apt,78,2,37,2024-03-01,2.33,27,346,28,3306300873272
757865866984510101,Bel appartement au coeur de Bordeaux,390200553,Happy Team,Bordeaux,Bordeaux Sud,44.83234,-0.56989,Entire home/apt,76,2,56,2024-02-20,3.55,27,342,43,3306300873378
758407792315104683,Bâtisse en pierre XVII siècle 115 M² avec terrasse,332233940,Carine,Ambars-et-Lagrave,Ambars-et-Lagrave,44.92132,-0.48567,Entire home/apt,105,2,15,2024-01-11,1.29,2,319,15,
758519074417181983,Charmant,50042358,Mehdi,Bgles,Bgles,44.80963,-0.54555,Entire home/apt,49,2,18,2024-02-01,1.10,2,124,12,
758640392928549903,Bordeaux Parc expositions/ stade Matmut,68728150,Virginie,Blanquefort,Blanquefort,44.90919,-0.62223,Private room,46,1,6,2024-02-21,1.05,2,140,6,
758640717904549535,Appartement 2 chambres Bordeaux/Parc expo/ Médoc,68728150,Virginie,Blanquefort,Blanquefort,44.91021,-0.59213,Entire home/apt,62,1,2,2023-08-03,0.21,2,85,2,
759147485784083626,Appartement-centre ville,22885853,Jose Manuel,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84682,-0.57571,Entire home/apt,64,2,1,2023-08-22,0.14,1,265,1,33063009900ED
759331424653194966,Suite privative Abella - Aile de maison bourgeoise,332233940,Carine,Ambars-et-Lagrave,Ambars-et-Lagrave,44.92298,-0.48449,Private room,79,1,25,2024-03-07,1.55,2,318,20,
759504500827736794,Chambre privée 9m² Villenave d'Ornon,406442919,Julien,Villenave-d'Ornon,Villenave-d'Ornon,44.76541,-0.57311,Private room,,1,16,2023-05-18,1.04,3,0,4,
759521506989362285,2xChambres privées -Villenave d'Ornon - 15m² & 9m²,406442919,Julien,Villenave-d'Ornon,Villenave-d'Ornon,44.76367,-0.5726,Private room,,1,9,2023-06-30,0.60,3,0,4,
760048333056972071,Charmante suite cosy,308091602,Ben,Le Taillan-Mdoc,Le Taillan-Mdoc,44.9024362122925,-0.7037637010216713,Private room,40,2,17,2024-02-15,1.04,1,54,14,
760052272219210041,Gîte T3 à Eysines,487683532,Alexandre,Eysines,Eysines,44.87193,-0.63545,Entire home/apt,,2,12,2023-12-08,0.74,1,0,6,
760155753654812188,Maison avec piscine,303587941,Teddy,Villenave-d'Ornon,Villenave-d'Ornon,44.76357,-0.5903,Entire home/apt,,5,11,2023-08-30,0.73,1,0,9,
760768417330772132,*Promotion* -Immeuble- 2Appts- entièrement équipée,194497878,Julie,Talence,Talence,44.81851,-0.57931,Entire home/apt,170,2,4,2023-06-25,0.32,3,122,3,
760770557888507411,Maison Duplex - Villenave-d'Ornon,233383861,Maxime,Villenave-d'Ornon,Villenave-d'Ornon,44.7574616,-0.5798922,Entire home/apt,57,2,46,2024-03-08,3.29,1,121,39,
760828798363824876,Magnificent apartment with terrace in the center,88717108,Anne,Bordeaux,Centre ville (Bordeaux),44.8416,-0.57477,Entire home/apt,250,4,19,2024-03-19,1.63,1,109,19,330630085274A
760909481389974832,Appartement cosy rénové au centre de Bordeaux,270268251,Monlom,Bordeaux,Centre ville (Bordeaux),44.83999,-0.5802,Entire home/apt,61,30,3,2023-07-04,0.23,1,263,2,"Available with a mobility lease only (""bail mobilité"")"
761282165215165596,Charmant 60m² avec balcon à Bordeaux,456430723,Thibaut,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.830626,-0.593519,Entire home/apt,,365,4,2023-08-06,0.31,26,0,3,3306300873584
761432184722873833,Echoppe rénovée avec extérieur,12854265,Myriam,Talence,Talence,44.81634,-0.58356,Entire home/apt,110,4,0,,,1,119,0,
761487535802699323,Maison avec Terrasse et Parking C 1,487934488,Lili,Cenon,Plaisance-Loret-Maregue,44.86058,-0.50601,Entire home/apt,,2,2,2022-12-28,0.13,2,0,0,
761493690975671330,Maison avec Terrasse et Parking C 2,487934488,Lili,Cenon,Plaisance-Loret-Maregue,44.86055,-0.50735,Entire home/apt,,2,5,2022-12-19,0.31,2,0,0,
761658867325928238,Petite mais confortable + garage gratuit,10171822,Odile,Bordeaux,Centre ville (Bordeaux),44.83739546110462,-0.5978956494827936,Private room,44,1,22,2024-01-02,1.56,2,40,17,
762031608991771543,Chambre avec SDB et WC privatifs proche transports,90384440,Rosalie,Merignac,Les Eyquems,44.83056,-0.64952,Private room,34,3,42,2023-12-20,2.63,1,37,33,
762105727461881101,Maison à 2 min à pied du tram/proche centre ville,62222758,Kimberley,Cenon,Gambetta-Mairie-Lissandre,44.85992330843778,-0.5306096131351774,Entire home/apt,72,2,10,2024-03-10,2.14,1,72,10,
762168405323691928,Hôtel Ornano n°7 - Clim et Tram,87554401,Karine Et Nico,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.8325934,-0.5948505,Private room,33,1,77,2024-03-17,4.82,52,349,64,
762177631265301951,Villa Ora - La Cabane Urbaine,149534897,Alexis,Bordeaux,Bordeaux Maritime,44.8571244863726,-0.5627834230327928,Entire home/apt,550,5,3,2023-08-21,0.35,2,92,3,33063008754F6
762350550287418184,"Lovely, cozy and quiet apartment",35274914,Sara,Bordeaux,Centre ville (Bordeaux),44.84925,-0.59106,Entire home/apt,,2,15,2024-01-02,0.96,1,0,7,33063008755FC
763513390593609663,"Deux pièces avec balcon, calme et ensoleillé",488317540,Clement,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83156120469221,-0.5781819730163651,Entire home/apt,100,20,17,2024-02-05,1.17,1,350,12,3306300571369
763566163804481868,Chambre avec salle de bain indépendante,35725503,Caroline,Pessac,Verthamon,44.81801,-0.60578,Private room,40,1,38,2024-03-13,2.38,1,179,32,
763682091558419423,Splendid flat located in the heart of the,174341016,Edouard,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85409,-0.56981,Entire home/apt,87,1,20,2023-12-10,1.28,3,273,13,3306300134653
763755544131546219,Bel Appartement familial,488362194,Marwa,Cenon,Plaisance-Loret-Maregue,44.8498269,-0.5071678,Entire home/apt,90,1,8,2024-02-15,0.54,3,50,6,
764201277668472005,Appartement climatisé 4p proche du centre,218765540,Leavetown,Bordeaux,Bordeaux Maritime,44.86588,-0.55002,Entire home/apt,131,4,0,,,16,279,0,Exempt - hotel-type listing
764307598760311911,Maison bucolique Bordeaux centre,10997498,Marie,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85243,-0.58439,Entire home/apt,360,5,0,,,1,266,0,33063005723A5
764331626348440266,T3 climatisé proche commodités,488453033,Sophie,Merignac,Centre ville (Merignac),44.84053,-0.64593,Entire home/apt,90,3,41,2023-10-29,3.48,1,170,41,332810818517
764346497536520569,Charmante maison de ville 5' BDX,488444557,Denis,Cenon,Gambetta-Mairie-Lissandre,44.8424498,-0.5385322,Entire home/apt,130,3,0,,,1,267,0,
764443067068346029,Maison chaleureuse 4 chambres Bordeaux,264210802,Nadège,Floirac,Floirac,44.83344,-0.54088,Entire home/apt,250,2,6,2023-09-17,0.54,1,303,6,
764521893428576863,Urban Home - 4 pers - Netflix,229121748,Sandy,Eysines,Eysines,44.8664876,-0.6385057,Entire home/apt,71,2,30,2024-03-06,1.88,1,78,21,
764942058036040708,Peaceful and ultra-central apartment - St Pierre,148638642,Tatiana,Bordeaux,Centre ville (Bordeaux),44.837876,-0.5733115999999999,Entire home/apt,,4,26,2024-02-27,1.63,11,1,14,3306300867570
765051446279419241,Bordeaux studio indépendant avec jardin.,130773986,Marc,Bordeaux,Caudran,44.85628,-0.63247,Private room,50,1,28,2024-03-17,1.74,1,231,23,
765280489984134163,Superbe studio quartier historique,35573021,Aurélien,Bordeaux,Centre ville (Bordeaux),44.84085,-0.57343,Entire home/apt,,2,12,2023-12-10,0.77,1,86,8,3306300877369
765288624596024978,Charmant duplex T2 aux Chartrons,79648140,Sebastien,Bordeaux,Bordeaux Maritime,44.8602868,-0.5568647999999999,Entire home/apt,65,2,34,2024-03-10,2.18,2,134,21,330630087663F
765743343555679325,Appartement pour deux quartier saint Pierre.,450638620,Oihana,Bordeaux,Centre ville (Bordeaux),44.84001606184694,-0.5720803141593933,Entire home/apt,,2,6,2023-05-22,0.38,1,0,2,3306300878199
767309219728999197,"Penthouse vue Garonne, Jacuzzi",65030872,Leila,Bordeaux,La Bastide,44.8584252,-0.5450975,Entire home/apt,280,2,13,2024-03-10,0.99,1,286,11,3306300843057
767309731768566555,Joli appartement proche jardin public-Chartons,30364126,Camille,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85328759999999,-0.5758707,Entire home/apt,,2,16,2023-07-06,1.10,1,0,5,33063008789C9
767311467767267199,Capucins Bordeaux,47439044,Sylvain,Bordeaux,Bordeaux Sud,44.82881,-0.56427,Entire home/apt,200,3,1,2023-09-11,0.15,1,277,1,3306300496162
767400856975759248,Bali Chic*Jacuzzi*Terrasse*Netflix*Proche Bordeaux,488970532,Louise,Villenave-d'Ornon,Villenave-d'Ornon,44.78001,-0.55606,Entire home/apt,106,1,124,2024-03-10,7.77,1,159,89,
767418874995643043,"Petite chambre cosy, sde et wc.",180421575,Sophie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82562,-0.6136,Private room,52,1,30,2023-10-26,2.20,1,196,28,
767458916665527092,"Chambre indépendante sur jardin
l'Échoppée Belle",132069543,Yann,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85677,-0.56514,Private room,60,2,70,2024-03-17,4.38,2,163,60,3306300712704
767496531128398482,La Chambre d'Amour* Jacuzzi* Terrasse* Détente,6235238,Marie,Bruges,Bruges,44.87969,-0.62264,Entire home/apt,121,1,114,2024-03-09,7.18,1,362,94,
767870055616440501,Agréable et confortable avec balcon et piscine.,114062935,Marie Pierre,Eysines,Eysines,44.88390557001392,-0.6453894451260567,Entire home/apt,75,2,11,2024-01-01,1.37,1,309,11,
767888576003846371,Cosy T3 proche gare et Nansouty,16900168,Marion Et Thomas,Bordeaux,Nansouty - Saint Gens,44.82316,-0.56705,Entire home/apt,76,3,67,2024-03-07,4.29,20,130,52,33063008788C3
767984293932950323,T3 Duplex entre gare et Nansouty,16900168,Marion Et Thomas,Bordeaux,Nansouty - Saint Gens,44.82308,-0.5671,Entire home/apt,71,3,44,2024-03-04,2.77,20,174,33,33063008796F3
768776977826942032,Chambre avec entrée privée,425758326,Catherine,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83748,-0.59079,Private room,39,1,10,2023-11-04,0.64,1,6,9,
768912268164558680,House City centre with 3 bedrooms+Terrace,9260933,Marine,Bordeaux,Nansouty - Saint Gens,44.82154,-0.56824,Entire home/apt,135,4,5,2024-01-02,0.33,1,23,4,3306300876745
769250089555087275,Découvrir Bordeaux en famille,489279617,Christophe,Artigues-Prs-Bordeaux,Artigues-Prs-Bordeaux,44.87181,-0.50284,Entire home/apt,60,7,2,2023-08-03,0.24,1,0,2,
769284834828396896,Jolie maison avec cour proche tramway,19781834,Clement,Cenon,Gambetta-Mairie-Lissandre,44.85151,-0.53542,Entire home/apt,,4,6,2024-01-07,0.56,1,0,6,
769459458567368426,Maison familiale neuve,80504075,Sara,Merignac,La Glacire,44.8380518485606,-0.6237879395484924,Entire home/apt,,2,3,2023-06-04,0.20,1,0,2,
769469433706711617,T2 Chartrons:jardin et parking!,50434008,Louise,Bordeaux,Bordeaux Maritime,44.86117806347109,-0.5667351568540888,Entire home/apt,77,2,6,2023-11-20,0.58,1,211,6,3306300912662
769494206922937329,T2 parking à 2 mn gare Saint-Jean (bail mobilité),489322928,Aurélie,Bordeaux,Bordeaux Sud,44.8250482,-0.5537425,Entire home/apt,110,2,27,2023-10-11,1.73,1,175,23,33063008811F8
769496771871140134,Loue Appartement Bordeaux Centre rue Ste Catherine,60882680,Pierre Chv,Bordeaux,Bordeaux Sud,44.8324755,-0.573136,Private room,,2,18,2023-06-05,1.14,1,0,3,
769613179217608599,"Appt lumineux, 2 chambres",134903944,Jessica,Villenave-d'Ornon,Villenave-d'Ornon,44.77621,-0.57872,Entire home/apt,,5,0,,,1,0,0,
770071316342230459,Chambre 2 dans coloc,6715487,Guillaume,Bgles,Bgles,44.80459,-0.55898,Private room,35,30,3,2023-07-17,0.20,4,46,2,
770078256188542853,Appartement spacieux avec loggia,172526211,Agathe,Talence,Talence,44.79552,-0.59582,Entire home/apt,,4,0,,,2,0,0,
770675938349838077,Logement de 37m2 à Pessac,100942453,Vincent,Pessac,Arago-La Chataigneraie,44.7997659,-0.641119,Entire home/apt,,2,2,2022-12-14,0.13,1,87,0,
770871818317094352,Studio bien placé,34385213,Pascale,Bordeaux,Centre ville (Bordeaux),44.85006000136259,-0.5893779752703915,Entire home/apt,70,30,0,,,1,364,0,"Available with a mobility lease only (""bail mobilité"")"
770927346350129333,Notre Dame vue sur les toits,489586439,Anne Sophie,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.8521154,-0.5708072,Entire home/apt,83,3,25,2024-03-18,1.73,1,296,19,33063008807E0
770963413786757709,"-la Villa Shelter- Piscine, terrasse & Spa",489595124,Remziye,Villenave-d'Ornon,Villenave-d'Ornon,44.77828,-0.54031,Entire home/apt,183,2,22,2023-11-03,1.45,2,327,18,
771359497833575735,Charmant et lumineux T4,355607207,Marta,Villenave-d'Ornon,Villenave-d'Ornon,44.77996,-0.57251,Entire home/apt,150,3,1,2023-01-08,0.07,1,363,0,
771533494282484383,T2 proche Hippodrome,389630947,Yohan,Bordeaux,Caudran,44.86448,-0.62227,Entire home/apt,56,1,0,,,1,354,0,
772214585231525719,Just 2 Steps from Bordeaux: New 80m² Apartment,52070186,Giovanni,Lormont,Lormont,44.87418,-0.52164,Entire home/apt,83,2,29,2024-03-07,1.85,1,318,25,
772351133570557904,"""Chez aurelie"" Maison 40m2 cosy 1ch Terrasse",438808983,Clara,Parempuyre,Parempuyre,44.94398,-0.60371,Entire home/apt,50,2,22,2024-03-03,1.49,1,342,19,0974628347091
772430045159893490,Welcome to bibiche,10871892,Fanny,Pessac,Le Vallon-Les Echoppes,44.81313,-0.62505,Entire home/apt,58,3,52,2024-03-19,3.52,1,112,33,
772510347194407512,-NamastHome/Parc Bourran/4 pers-,216978708,Benjamin,Merignac,La Glacire,44.83537446300716,-0.628218180797746,Entire home/apt,68,2,28,2024-03-17,1.78,5,79,19,
772547808136934563,Joli pied à terre avec Terrasse,2961901,Emilie,Cenon,Gambetta-Mairie-Lissandre,44.855201566667304,-0.5367479476956138,Entire home/apt,64,2,15,2024-03-03,1.66,1,42,15,
772909594818570415,"Grand studio au calme, Climatisé, 5 min de la Gare",390200553,Happy Team,Bordeaux,Bordeaux Sud,44.8232189,-0.5602037,Entire home/apt,58,2,43,2024-03-15,2.86,27,344,31,33063009350FC
772910680556349887,"Grand studio rénové, Climatisé, 5 min. de la Gare",390200553,Happy Team,Bordeaux,Bordeaux Sud,44.82324819999999,-0.5601208,Entire home/apt,61,2,35,2024-02-16,2.27,27,342,29,33063009350FC
772939820012615753,Une chambre chez Iris & Marcel,7550391,Iris,Bordeaux,La Bastide,44.83878840234914,-0.5527544038671931,Private room,45,2,90,2024-03-06,6.19,1,64,76,
773151795630405816,Élégant Appartement Caudéran / Balcon/ Parking,37314741,Céline&Thomas,Bordeaux,Caudran,44.8543863,-0.6058292,Entire home/apt,149,2,3,2023-09-11,0.21,29,55,2,3306300896231
773229069192682003,"Maison ""la coquette"" plain-pied, quartier calme",4939139,Caroline,Villenave-d'Ornon,Villenave-d'Ornon,44.76774,-0.55362,Entire home/apt,,5,8,2023-06-05,0.60,4,0,5,
773237161994815288,Duplex avec roof top,9341587,Camille,Bordeaux,Nansouty - Saint Gens,44.82703,-0.58038,Entire home/apt,180,2,9,2023-12-27,0.86,1,6,9,3306300882135
773643315268939318,Sunny and large flat with terrace - Nansouty,49992182,Romy,Bordeaux,Nansouty - Saint Gens,44.82275,-0.57396,Entire home/apt,,2,2,2023-07-16,0.23,1,0,2,3306300882653
