id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
892449340004432617,Appartement Villeurbanne Lyon 3,44087943,Morgane,,3e Arrondissement,45.753007541431884,4.891373249421321,Entire home/apt,68,2,9,2024-02-25,0.96,1,298,9,
892465700304723170,Les balcons de Fourvière - Apartment with view,10758726,Axel,,2e Arrondissement,45.76299,4.83534,Entire home/apt,575,3,1,2023-09-30,0.17,7,350,1,6938213595487
892597249713576614,Canut au cœur du Vieux Lyon,407622273,Anaïs,,5e Arrondissement,45.76222060000001,4.826192799999999,Entire home/apt,120,2,3,2023-12-31,0.50,1,318,3,6938513581449
892667235072162314,Appart 3 pièces proche Part-Dieu,31592595,Sullivan,,3e Arrondissement,45.75144707654982,4.865588508546352,Entire home/apt,,3,4,2023-08-07,0.40,1,0,4,6938313586552
892825141767704788,Presqu’île Lyon 2     87m2,52139574,Niko,,2e Arrondissement,45.7606049,4.8341975,Entire home/apt,,2,3,2023-10-01,0.49,1,0,3,Exempt - hotel-type listing
893176820953826405,Studio au coeur du 6ème,11200925,Françoise,,6e Arrondissement,45.7683744,4.848057499999999,Entire home/apt,66,3,10,2023-12-26,1.03,3,35,10,6938612609640
893217525825498030,Appartement Lyon 7 - 2 chambres,16874455,Coline,,7e Arrondissement,45.7490437,4.853108499999999,Entire home/apt,80,1,3,2023-12-10,0.35,2,27,3,6938713582086
893303471088741317,Appartement Pentes Croix-Rousse,448379917,Mégane,,1er Arrondissement,45.77178292936253,4.834701918839399,Entire home/apt,66,2,13,2024-03-17,1.30,1,4,13,6938113582351
893374432314164657,Chambre calme au centre de Lyon,515194074,Redouane,,8e Arrondissement,45.73542,4.87027,Private room,,1,1,2023-07-15,0.12,1,0,1,
893392506006556142,Au petit soyeux Croix Rousse,515199612,David,,4e Arrondissement,45.77488359449434,4.82544078413087,Entire home/apt,97,2,7,2023-10-30,0.73,1,35,7,6938413527137
893394321354392145,Calm and breathtaking view,456097107,Celine,,5e Arrondissement,45.75508819999999,4.816707600000001,Entire home/apt,190,1,14,2024-01-02,1.54,1,112,14,6938513251748
893523199913995773,Joli duplex avec terrasse proche Gare Part Dieu,291015206,La Nuitée,,3e Arrondissement,45.757007339331295,4.863203907409681,Entire home/apt,58,2,61,2024-03-21,6.22,81,321,61,US06938322001
893571610749329114,"Cosy Appart Lyon 6, Bossuet 1",26481589,Calvin,,6e Arrondissement,45.76860381670799,4.849486006666773,Entire home/apt,55,1,51,2024-03-19,5.02,37,140,51,Exempt - hotel-type listing
894127443772572064,Bel appartement Haussmannien,188367880,Théo,,2e Arrondissement,45.7480357,4.8291599,Entire home/apt,99,4,0,,,1,203,0,6938213582918
894673187720329538,Triangle d'or de Lyon - face au Parc,134585681,Farouk,,6e Arrondissement,45.77305275753038,4.852276369929314,Entire home/apt,260,5,1,2023-10-01,0.17,1,263,1,6938613573405
894820804547299665,Charmant Studio Proche De Jean Macé,515514473,Marie,,7e Arrondissement,45.74227,4.83825,Entire home/apt,65,2,24,2024-03-07,2.49,1,122,24,6938712880025
894847387692463624,Appartement 4 personnes - Terrasse,219393761,Axel,,9e Arrondissement,45.7896694,4.816705,Entire home/apt,100,2,9,2024-01-28,1.13,22,243,9,6938913583913
895403268205902264,Appartement entier au calme,213633405,Franck,,5e Arrondissement,45.75276489376214,4.795259795770255,Entire home/apt,,2,5,2023-08-20,0.58,1,0,5,6938513600255
895459290209267960,App. Montchat idéalement situé,16849532,Caroline,,3e Arrondissement,45.75358,4.89413,Entire home/apt,80,1,48,2024-03-16,4.85,1,57,48,6938313584275
895570235576630240,Chambre proche quais du Rhône,3446426,Justine,,3e Arrondissement,45.75674,4.8419,Private room,50,1,23,2023-08-23,2.26,1,72,23,
